,U2M,V250,TROPT,TROPPB,T2M,TQL,T500,TOX,U850,PS,V850,OMEGA500,H250,Q250,T2MDEW,PBLTOP,CLDPRS,V50M,Q500,DISPH,H1000,TO3,TS,T10M,TROPPT,TQI,SLP,U250,Q850,ZLCL,TQV,V2M,T250,TROPQ,V10M,H850,T850,U50M,U10M,QV2M,CLDTMP,TROPPV,H500,V500,T2MWET,U500,QV10M,LWGAB,SWLAND,PRECLSCORR,PRECCUCORR,PARDF,SWGDN,PRECSNOCORR,PARDR,generation_mw
2023-07-01 00:30:00+00:00,3.3278437,-5.8058443,216.74097,22642.006,289.18585,0.05657959,262.9224,0.0069560455,11.825224,99506.375,1.8867176,0.022325397,10623.982,0.00011322582,288.5387,90433.68,27479.02,3.725913,0.001910011,0.36505127,37.417652,324.48837,288.7857,289.3986,22644.883,0.040164948,100432.984,17.487377,0.009331944,258.95737,37.16189,1.7467,223.28467,4.909836e-05,2.6437137,1411.0421,284.16443,7.599936,5.040132,0.010984809,224.15755,19338.648,5681.0146,-5.9962187,288.53415,15.849213,0.0109581165,356.7864,0.0,9.1740985e-06,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01 01:30:00+00:00,3.34238,-3.6873446,217.28345,22640.912,289.10156,0.06690979,262.53152,0.00698944,11.60269,99449.79,1.9857512,0.023614943,10615.19,0.00010722105,288.43658,87547.7,23269.176,2.8065834,0.002136723,0.36499023,32.68719,326.0442,288.74142,289.29773,22641.86,0.060913086,100378.41,18.504887,0.00916378,258.78177,36.48982,1.3256967,222.98764,5.2557847e-05,2.0061955,1405.3563,283.90805,7.643868,5.062497,0.010925706,220.69576,20783.45,5677.4487,-5.520889,288.44626,16.184917,0.010891377,362.6275,0.0,1.0494125e-05,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01 02:30:00+00:00,3.3286788,-8.294871,219.20236,22640.52,288.96063,0.06422424,262.6043,0.007074574,11.525191,99417.88,1.5107129,0.01207599,10604.789,0.00010070253,288.31958,88980.67,45765.22,1.9777184,0.0018997196,0.3649292,29.956055,330.01398,288.56323,289.1682,22640.29,0.013675451,100347.375,18.652782,0.008986252,258.6451,34.6303,0.93669236,223.169,6.460864e-05,1.4203839,1401.0044,283.586,7.7065067,5.0569177,0.010839885,247.41354,22568.25,5675.2036,-5.3072186,288.3109,16.804558,0.010809372,359.93237,0.0,1.0453112e-05,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01 03:30:00+00:00,3.2496414,-17.97114,219.84341,22640.268,288.69244,0.08277893,262.71985,0.007094651,11.408081,99412.75,0.16887164,-0.013518482,10604.072,0.00010204085,288.12915,94446.625,74165.77,1.2849807,0.0018074523,0.3649292,29.774616,330.91495,288.2564,288.91156,22640.295,9.7268494e-05,100346.234,19.433266,0.008753607,258.48737,31.880123,0.5935435,224.00992,6.5947745e-05,0.9041945,1398.5493,283.12796,7.5802264,4.958589,0.010710201,277.277,22639.781,5673.448,-5.161276,288.13065,17.179844,0.010691131,352.5496,0.22271529,9.545622e-06,0.0,0.08895549,0.27973995,0.0,3.613666e-08,0.0
2023-07-01 04:30:00+00:00,3.3879676,-24.947979,220.2413,22641.637,288.70657,0.111968994,262.568,0.0070490274,10.805376,99430.125,-1.6402743,-0.0445334,10607.176,0.00010908338,288.01935,95955.04,75078.12,0.34198356,0.0018508451,0.3649292,31.48851,328.34244,288.48315,288.8609,22641.416,6.150454e-05,100367.03,22.45703,0.008481012,269.0569,28.903448,0.22684002,224.6267,6.1482424e-05,0.34326303,1397.7832,282.62527,7.506492,5.118332,0.010632008,277.22006,22322.756,5671.8506,-4.8175926,288.02136,17.301907,0.010578605,356.3551,20.794027,7.830525e-06,0.0,9.155069,27.317741,0.0,1.5769143,1.15210275
2023-07-01 05:30:00+00:00,3.6338446,-26.635155,220.57913,22644.67,289.0433,0.12521362,262.3915,0.006946004,9.978127,99457.016,-3.0793788,-0.06364232,10609.643,0.00011564346,288.0252,96148.5,65775.086,-0.6614059,0.0016286388,0.36480713,33.91888,323.51828,289.08084,289.07852,22641.871,0.00024268031,100396.36,26.48615,0.008197092,303.03088,26.055729,-0.25551093,224.97424,5.9342325e-05,-0.38026834,1398.0798,282.16974,7.148126,5.390093,0.010639657,266.64096,20384.762,5670.7,-4.581804,288.02966,17.561886,0.010513774,359.10852,67.54098,5.5966602e-06,0.0,23.88337,86.47453,0.0,12.753901,8.7955164
2023-07-01 06:30:00+00:00,4.0238137,-27.254066,220.58513,22388.602,289.41916,0.118011475,262.31754,0.00684268,9.433096,99497.62,-3.8906112,-0.071084976,10612.008,9.739054e-05,287.64838,92822.234,55189.74,-2.0787172,0.0012197508,0.36480713,37.512573,318.71167,289.6591,289.35266,22388.553,0.0005053282,100440.17,29.257812,0.007850074,417.17932,23.360353,-0.94582176,225.15811,5.6822762e-05,-1.3895786,1399.9808,281.7041,7.6562233,5.9065714,0.010376501,258.46118,19917.191,5670.375,-4.599167,287.6502,17.60461,0.010176235,358.65527,127.42847,4.13583e-06,0.0,41.108986,159.10852,0.0,28.046677,25.888412
2023-07-01 07:30:00+00:00,4.2611156,-28.170752,219.87814,21222.562,290.1601,0.0847168,262.23615,0.006722371,9.174262,99541.47,-3.9858289,-0.0507403,10615.326,0.00011116482,286.9135,90468.305,76393.086,-2.9242456,0.0010161424,0.36480713,41.287468,313.08472,290.97076,289.90887,21222.98,6.9633126e-05,100485.41,31.258926,0.007349456,586.4769,20.922749,-1.505717,225.4515,5.667535e-05,-2.1839204,1402.6459,281.135,7.7220554,6.180222,0.0098825,274.9524,19503.846,5670.6494,-4.8259706,286.90533,17.49437,0.0096212,350.0584,236.37546,2.0217913e-06,0.0,65.09203,291.2099,0.0,61.0203,42.201815
2023-07-01 08:30:00+00:00,4.465809,-26.82632,219.9095,20856.0,291.73004,0.08766174,262.2217,0.006659407,9.180991,99569.85,-3.9185467,-0.02171433,10618.139,0.000105550396,286.16476,87430.53,48929.668,-2.9144194,0.0010480892,0.3647461,43.305206,310.14563,293.6138,291.12018,20856.059,0.001871109,100508.64,33.260323,0.0068118167,816.1269,19.14136,-1.5954527,225.74573,4.6768684e-05,-2.271657,1404.9893,280.64294,7.7467914,6.3590117,0.009409484,255.0358,19249.406,5671.2725,-4.9287267,286.16354,17.562164,0.009102403,329.03998,433.2431,2.234663e-06,0.0,69.684235,526.2568,0.0,155.31795,61.01350800000001
2023-07-01 09:30:00+00:00,4.714286,-26.42996,220.05861,20821.105,293.10098,0.13075256,262.1878,0.006616398,9.400986,99586.94,-3.493754,-0.0051154494,10622.594,8.216857e-05,285.66113,84222.44,35517.105,-2.4713607,0.0013351451,0.36468506,44.720413,308.13803,295.5492,292.24243,20821.031,0.0031089783,100524.16,35.05273,0.006921362,1030.5448,18.543541,-1.3909723,225.9991,3.9818337e-05,-1.962007,1407.7156,279.8176,8.011606,6.649118,0.009104297,245.69696,19237.27,5672.745,-4.712434,285.66522,18.255775,0.008722828,324.16742,585.8971,2.619925e-06,0.0,86.4536,701.7511,0.0,212.4348,80.79435000000001
2023-07-01 10:30:00+00:00,4.9024773,-26.687231,219.60501,20184.307,293.90372,0.15597534,262.2641,0.0065880027,9.823713,99602.81,-2.7567675,0.013394892,10628.107,8.354424e-05,285.4222,82392.1,70163.84,-1.8669484,0.0017337805,0.36468506,46.041832,306.8119,296.36417,292.9906,20184.717,0.0001980178,100540.22,36.607597,0.0071921027,1169.1726,18.691725,-1.047808,226.28404,3.6930007e-05,-1.4768027,1411.2146,279.70624,8.338383,6.910864,0.008955517,270.99496,18683.764,5674.272,-4.4172955,285.42584,19.25272,0.00853018,327.35342,626.0563,2.1340538e-06,0.0,71.58681,741.0635,0.0,245.6897,108.89213
2023-07-01 11:30:00+00:00,5.052398,-25.793062,220.11407,20857.86,294.612,0.11613464,262.30484,0.0065663573,10.248064,99606.086,-2.1595402,0.0064476132,10632.949,0.00010601628,285.36548,80806.61,81639.85,-1.4142361,0.0020685205,0.36462402,46.654987,305.80853,297.0081,293.72052,20856.535,0.0,100549.33,37.72887,0.0071499725,1283.8137,18.98428,-0.7833911,226.58153,3.9893723e-05,-1.106574,1414.6743,280.005,8.661389,7.1383395,0.008923091,278.5265,18042.74,5675.238,-4.0124645,285.3742,19.963518,0.008463423,329.61926,643.48315,9.4205666e-07,0.0,59.261787,756.3114,0.0,265.44672,108.036
2023-07-01 12:30:00+00:00,5.3027883,-23.68704,220.17621,20856.69,295.4458,0.10354614,262.35037,0.0065454002,10.692954,99604.19,-1.7335155,0.019456446,10637.617,0.00010882675,285.3372,79905.83,81327.42,-1.264602,0.0023736982,0.36462402,46.560215,304.84515,297.98886,294.4983,20856.072,0.0,100549.3,38.47446,0.0071396558,1407.2504,19.432974,-0.7023529,226.79903,3.449884e-05,-0.99354255,1417.4988,280.3773,9.132248,7.501891,0.008904021,278.19458,19001.262,5675.8984,-3.852078,285.33707,20.597788,0.0083928555,324.1974,722.288,7.662875e-07,0.0,55.923965,848.61365,0.0,307.4691,100.81847
2023-07-01 13:30:00+00:00,5.476259,-21.014845,220.38495,20855.695,295.82178,0.06175995,262.51633,0.006542688,11.127378,99611.11,-1.821583,0.03414905,10640.559,9.765756e-05,285.15735,78570.69,80480.19,-1.5099696,0.0026207007,0.364563,46.92566,304.71295,297.9306,294.97336,20856.03,0.0,100553.57,39.04981,0.0069705085,1507.0482,19.987127,-0.84951687,226.86722,3.1705757e-05,-1.2094086,1420.3075,280.88458,9.543842,7.7958174,0.008802941,277.91785,19254.434,5675.699,-4.0529547,285.16647,21.695122,0.008286054,327.94376,676.39404,2.6062116e-07,5.17504e-09,56.849495,798.65063,0.0,285.5628,91.38909
